CustomerID,Recency,Frequency,Monetary,R,F,M,RFM Score,Segment,RFM_Score,RFM_Level
1,327,26,169.36000000000058,2,5,2,252,can't loose,9,Gold
2,41,250,5479.479999999996,4,5,5,455,loyal customers,14,Platinum Plus
3,77,51,2019.4000000000003,3,5,5,355,loyal customers,13,Platinum
4,20,174,4418.490000000003,5,5,5,555,champions,15,Platinum Plus
5,312,17,334.40000000000003,2,5,3,253,can't loose,10,Gold
6,377,20,290.73,2,5,3,253,can't loose,10,Gold
7,74,103,1864.1600000000008,3,5,5,355,loyal customers,13,Platinum
8,205,24,406.76000000000005,2,5,3,253,can't loose,10,Gold
9,234,58,1079.4,2,5,4,254,can't loose,11,Platinum
10,97,35,947.6099999999999,3,5,4,354,loyal customers,12,Platinum
11,24,142,6338.279999999996,4,5,5,455,loyal customers,14,Platinum Plus
12,183,294,18191.659999999996,2,5,5,255,can't loose,12,Platinum
13,4,59,2431.7400000000002,5,5,5,555,champions,15,Platinum Plus
14,10,335,7845.500000000001,5,5,5,555,champions,15,Platinum Plus
15,54,216,4181.890000000001,4,5,5,455,loyal customers,14,Platinum Plus
16,289,29,511.2499999999999,2,5,3,253,can't loose,10,Gold
17,13,273,5134.780000000006,5,5,5,555,champions,15,Platinum Plus
18,37,23,552.0,4,5,3,453,loyal customers,12,Platinum
19,42,85,1313.1000000000001,4,5,4,454,loyal customers,13,Platinum
20,293,21,320.69,2,5,3,253,can't loose,10,Gold
21,635,3,500.24,1,4,3,143,at risk,8,Gold
22,213,11,168.9,2,5,2,252,can't loose,9,Gold
23,630,17,846.9000000000001,1,5,4,154,can't loose,10,Gold
24,415,93,1791.1500000000003,1,5,5,155,can't loose,11,Platinum
25,53,199,4216.359999999999,4,5,5,455,loyal customers,14,Platinum Plus
26,31,164,4014.279999999998,4,5,5,455,loyal customers,14,Platinum Plus
27,36,52,1298.0400000000006,4,5,4,454,loyal customers,13,Platinum
28,343,50,1108.15,2,5,4,254,can't loose,11,Platinum
29,27,81,2921.9,4,5,5,455,loyal customers,14,Platinum Plus
30,12,17,434.62000000000006,5,5,3,553,champions,13,Platinum
31,391,11,462.34999999999997,2,5,3,253,can't loose,10,Gold
32,317,150,3341.419999999999,2,5,5,255,can't loose,12,Platinum
33,306,300,5406.119999999998,2,5,5,255,can't loose,12,Platinum
34,83,81,1602.9699999999998,3,5,5,355,loyal customers,13,Platinum
35,23,275,7617.379999999998,5,5,5,555,champions,15,Platinum Plus
36,1,89,1754.0400000000004,5,5,5,555,champions,15,Platinum Plus
38,10,98,1809.21,5,5,5,555,champions,15,Platinum Plus
39,30,29,553.68,4,5,3,453,loyal customers,12,Platinum
40,381,65,1903.8999999999999,2,5,5,255,can't loose,12,Platinum
41,193,18,660.8,2,5,4,254,can't loose,11,Platinum
42,417,9,143.94,1,5,2,152,can't loose,8,Gold
43,17,145,3885.8099999999986,5,5,5,555,champions,15,Platinum Plus
44,569,48,1413.8300000000002,1,5,4,154,can't loose,10,Gold
45,81,32,549.8400000000001,3,5,3,353,loyal customers,11,Platinum
46,23,287,2747.819999999997,5,5,5,555,champions,15,Platinum Plus
47,593,7,234.75000000000003,1,5,3,153,can't loose,9,Gold
48,40,112,2376.7499999999986,4,5,5,455,loyal customers,14,Platinum Plus
49,154,27,1272.4800000000002,3,5,4,354,loyal customers,12,Platinum
50,6,254,5011.760000000003,5,5,5,555,champions,15,Platinum Plus
51,649,64,914.4300000000001,1,5,4,154,can't loose,10,Gold
52,137,126,2409.900000000002,3,5,5,355,loyal customers,13,Platinum
53,47,85,1635.66,4,5,5,455,loyal customers,14,Platinum Plus
54,3,109,1937.340000000001,5,5,5,555,champions,15,Platinum Plus
55,416,11,205.25,1,5,2,152,can't loose,8,Gold
56,100,5,84.30000000000001,3,4,2,342,loyal customers,9,Gold
57,325,71,1244.1499999999996,2,5,4,254,can't loose,11,Platinum
58,51,10,1001.36,4,5,4,454,loyal customers,13,Platinum
60,150,53,1670.7900000000006,3,5,5,355,loyal customers,13,Platinum
61,23,167,5928.689999999999,5,5,5,555,champions,15,Platinum Plus
62,51,77,1708.1200000000003,4,5,5,455,loyal customers,14,Platinum Plus
63,129,167,4161.74,3,5,5,355,loyal customers,13,Platinum
64,66,268,22656.18999999998,3,5,5,355,loyal customers,13,Platinum
65,39,42,1001.4600000000002,4,5,4,454,loyal customers,13,Platinum
66,411,22,346.9000000000001,1,5,3,153,can't loose,9,Gold
67,76,130,2564.030000000001,3,5,5,355,loyal customers,13,Platinum
68,10,53,935.5000000000001,5,5,4,554,champions,14,Platinum Plus
69,189,33,483.21000000000004,2,5,3,253,can't loose,10,Gold
70,26,981,139960.2900000002,4,5,5,455,loyal customers,14,Platinum Plus
71,658,11,202.56,1,5,2,152,can't loose,8,Gold
72,41,358,6340.109999999996,4,5,5,455,loyal customers,14,Platinum Plus
73,114,102,1997.05,3,5,5,355,loyal customers,13,Platinum
74,387,25,503.01,2,5,3,253,can't loose,10,Gold
75,154,29,600.3900000000001,3,5,4,354,loyal customers,12,Platinum
76,17,66,1093.6000000000004,5,5,4,554,champions,14,Platinum Plus
77,170,165,4004.950000000001,3,5,5,355,loyal customers,13,Platinum
78,90,162,2503.5899999999983,3,5,5,355,loyal customers,13,Platinum
79,164,93,3314.5300000000007,3,5,5,355,loyal customers,13,Platinum
80,79,95,1680.8099999999997,3,5,5,355,loyal customers,13,Platinum
81,196,80,1276.0100000000002,2,5,4,254,can't loose,11,Platinum
82,13,44,968.9100000000001,5,5,4,554,champions,14,Platinum Plus
83,27,298,7286.200000000004,4,5,5,455,loyal customers,14,Platinum Plus
84,10,168,7171.9299999999985,5,5,5,555,champions,15,Platinum Plus
85,45,11,256.40000000000003,4,5,3,453,loyal customers,12,Platinum
86,3,409,10058.209999999986,5,5,5,555,champions,15,Platinum Plus
87,44,108,5059.32,4,5,5,455,loyal customers,14,Platinum Plus
88,11,694,20085.36000000003,5,5,5,555,champions,15,Platinum Plus
89,86,74,1062.4799999999998,3,5,4,354,loyal customers,12,Platinum
90,81,103,11714.73,3,5,5,355,loyal customers,13,Platinum
91,336,16,509.01000000000005,2,5,3,253,can't loose,10,Gold
92,10,542,11820.56999999999,5,5,5,555,champions,15,Platinum Plus
93,16,96,2860.950000000001,5,5,5,555,champions,15,Platinum Plus
94,684,4,76.52,1,4,2,142,at risk,7,Silver
95,489,14,199.64000000000001,1,5,2,152,can't loose,8,Gold
96,486,20,300.59999999999997,1,5,3,153,can't loose,9,Gold
97,182,12,172.06,3,5,2,352,loyal customers,10,Gold
98,1,176,4990.609999999998,5,5,5,555,champions,15,Platinum Plus
99,23,25,426.47999999999996,5,5,3,553,champions,13,Platinum
100,59,56,987.0099999999999,4,5,4,454,loyal customers,13,Platinum
101,68,26,476.49,3,5,3,353,loyal customers,11,Platinum
102,46,22,449.45,4,5,3,453,loyal customers,12,Platinum
103,24,201,4835.8899999999985,4,5,5,455,loyal customers,14,Platinum Plus
104,175,40,666.95,3,5,4,354,loyal customers,12,Platinum
105,12,511,12388.929999999984,5,5,5,555,champions,15,Platinum Plus
106,18,21,400.78999999999996,5,5,3,553,champions,13,Platinum
107,136,42,691.7899999999998,3,5,4,354,loyal customers,12,Platinum
108,55,71,4318.960000000001,4,5,5,455,loyal customers,14,Platinum Plus
109,75,136,4199.870000000001,3,5,5,355,loyal customers,13,Platinum
110,46,127,3062.99,4,5,5,455,loyal customers,14,Platinum Plus
111,1,92,2457.0099999999998,5,5,5,555,champions,15,Platinum Plus
112,73,84,1777.49,3,5,5,355,loyal customers,13,Platinum
