v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,classLabel
a,17.92,5.40E-05,u,-0.840182025,0.522882591,1.75,f,t,1,t,g,80,5,8.00E+05,t,0,no.
b,16.92,3.35E-05,y,-2.159635066,0.774187134,0.29,f,f,0,f,s,200,0,2.00E+06,NA,0,no.
b,31.25,0.0001125,u,1.750686681,0.760362707,0,f,t,1,f,g,96,19,960000,t,0,no.
a,48.17,0.0001335,u,4.174870686,0.888963139,0.335,f,f,0,f,g,0,120,0,NA,0,no.
b,32.33,0.00035,u,-3.785479153,0.489023844,0.5,f,f,0,t,g,232,0,2320000,f,0,no.
a,34.83,0.000125,y,2.298284327,0.686024869,0.5,f,f,0,t,g,160,0,1600000,f,0,no.
a,26.17,2.00E-04,u,-0.639583995,0.518365189,0,f,f,0,t,g,276,1,2760000,NA,0,no.
b,21.17,8.75E-05,y,3.934499796,0.631455415,0.25,f,f,0,f,g,280,204,2800000,NA,0,no.
b,28.92,3.75E-05,u,3.276616014,0.702000174,0.29,f,f,0,f,g,220,140,2200000,NA,0,no.
b,18.17,0.001025,u,-0.926149951,0.558275162,1.085,f,f,0,f,g,320,13,3200000,NA,0,no.
a,24.75,0.0013665,u,-4.676118942,0.494609432,1.5,f,f,0,f,g,280,1,2800000,f,0,no.
a,31.75,3.00E-04,y,-0.082770295,0.620832945,0,f,f,0,f,g,160,20,1600000,f,0,no.
a,18.17,0.001,y,-3.58547336,0.545641006,0.165,f,f,0,f,g,340,0,3400000,f,0,no.
a,18.25,0.001,u,-0.485566263,0.465671114,1,f,t,1,f,g,120,1,1200000,NA,0,no.
b,17.58,0.001,u,-1.612307818,0.730567863,0.165,f,t,1,f,g,120,1,1200000,t,0,no.
b,51.83,0.000204,y,-2.334902163,0.732681278,1.5,f,f,0,f,g,120,1,1200000,NA,0,no.
b,26.67,0.0014585,u,0.060106169,0.685828155,0,f,f,0,t,g,178,0,1780000,f,0,no.
b,31.42,0.00155,u,1.668916917,0.792027503,0.5,t,f,0,f,g,120,0,1200000,f,0,no.
b,25.67,0.000325,u,3.378429411,0.739805695,2.29,f,t,1,t,g,416,21,4160000,t,0,no.
b,33.75,0.000275,u,0.875442971,0.531123519,0,f,f,0,f,g,180,0,1800000,f,0,no.
b,32.75,0.0002335,u,-3.916500194,0.828297867,5.75,f,f,0,t,g,292,0,2920000,f,0,no.
b,39.83,5.00E-05,u,-3.67032906,0.620286482,0.25,t,f,0,f,s,288,0,2880000,NA,0,no.
a,40.33,0.0008125,y,3.330715632,0.617331813,0.165,f,t,2,f,g,NA,18,NA,NA,0,no.
b,35.25,0.00165,y,-1.983127848,0.553672596,4,t,f,0,f,g,80,0,8.00E+05,NA,0,no.
a,24.33,0.00025,y,-4.996939069,0.773962963,4.5,f,f,0,f,g,200,456,2.00E+06,f,0,no.
a,15.75,3.75E-05,u,2.492211598,0.568060275,1,f,f,0,f,g,120,18,1200000,f,0,no.
a,45,0.0004585,u,1.598262743,0.644472545,1,f,f,0,t,s,240,0,2400000,NA,0,no.
a,30.42,0.0001375,u,4.04251154,0.685665852,0.04,f,t,3,f,g,0,33,0,NA,0,no.
a,NA,0.00035,u,-1.566004625,0.414829733,3,t,f,0,t,g,300,0,3.00E+06,NA,0,no.
b,17.25,3.00E-04,u,1.261862183,0.291398562,0.04,f,f,0,t,g,160,40,1600000,NA,0,no.
a,38.58,5.00E-04,u,3.21649719,0.405886499,13.5,t,f,0,t,g,980,0,9800000,NA,0,no.
b,22.67,7.50E-05,u,-4.093643527,0.61127593,1.585,f,t,1,t,g,400,9,4.00E+06,NA,0,no.
a,49,0.00015,u,0.29265407,0.598336015,0,t,f,0,t,g,100,27,1.00E+06,f,0,no.
b,27.83,0.00015,u,3.199523357,0.438564492,2.25,f,t,1,t,g,100,3,1.00E+06,NA,0,no.
a,16.5,0.000125,u,-1.0353243,0.607369838,0.25,f,t,1,f,g,108,98,1080000,t,0,no.
b,25.67,0.000221,y,1.206128204,0.52862308,4,t,f,0,f,g,188,0,1880000,f,0,no.
b,36.67,2.00E-04,u,-4.583489124,0.434012984,0.25,f,f,0,t,g,221,0,2210000,NA,0,no.
b,26.17,8.35E-05,u,-2.962071132,0.559042385,1.165,f,f,0,f,g,100,0,1.00E+06,f,0,no.
b,NA,5.00E-04,y,0.002464976,0.737591876,8.5,t,f,0,f,g,0,0,0,f,0,no.
a,47.25,7.50E-05,u,-0.231183949,0.718731949,2.75,t,t,1,f,g,333,892,3330000,NA,1,yes.
a,33.67,3.75E-05,u,0.316147378,0.873585232,0.375,f,f,0,f,g,300,44,3.00E+06,NA,1,yes.
b,45,0.00085,u,-1.827572735,0.535105977,14,t,t,1,t,g,88,2000,880000,t,1,yes.
b,33.17,0.000104,u,0.35448493,0.696456399,6.5,t,f,0,t,g,164,31285,1640000,NA,1,yes.
a,25,8.75E-05,u,-3.502864961,0.757993348,1.04,t,f,0,t,g,160,5860,1600000,f,1,yes.
b,26.67,0.000175,y,1.444099247,0.901686711,1,t,t,5,t,g,160,5777,1600000,NA,1,yes.
b,48.5,0.000425,u,0.556442707,1.101900584,0.125,t,f,0,t,g,225,0,2250000,NA,1,yes.
b,37.42,0.000204,u,2.517871484,0.721088639,0.04,t,f,0,t,g,400,5800,4.00E+06,NA,1,yes.
b,18,1.65E-05,u,1.024455996,0.823635139,0.21,f,f,0,f,g,200,40,2.00E+06,f,1,yes.
a,56.5,0.0016,u,-0.293777289,0.724397253,0,t,t,15,f,g,0,247,0,t,1,yes.
b,25.75,5.00E-05,u,-1.345915282,0.772769677,1.46,t,t,5,t,g,312,0,3120000,t,1,yes.
