ID,Code,Name,CountryID
1,C12346,"SCHUMM, ORN AND ROSENBAUM",235
2,C12347,"JASKOLSKI, PROHASKA AND MACEJKOVIC",101
3,C12348,"LEGROS, SPENCER AND ZIEMANN",74
4,C12349,STIEDEMANN-CUMMINGS,109
5,C12350,BERGE INC,162
6,C12351,ZIEME INC,235
7,C12352,"KLEIN, GUTKOWSKI AND WOLFF",162
8,C12353,"HETTINGER, ULLRICH AND TOWNE",16
9,C12354,KOCH INC,208
10,C12355,"WEISSNAT, WIZA AND WISOKY",16
11,C12356,KSHLERIN-REINGER,174
12,C12357,REYNOLDS GROUP,215
13,C12358,O'KEEFE INC,13
14,C12359,MCDERMOTT LLC,56
15,C12360,O'KEEFE AND SONS,13
16,C12361,HESSEL INC,20
17,C12362,BOTSFORD-RYAN,20
18,C12363,"RUTHERFORD, MAYERT AND SCHILLER",235
19,C12364,"KUNDE, PACOCHA AND KUB",20
20,C12365,"PROSACCO, EBERT AND STEUBER",56
21,C12366,"BERNIER, HOWELL AND WATERS",56
22,C12367,CARTER GROUP,59
23,C12368,WATERS-BREITENBERG,56
24,C12369,"LOWE, ROBEL AND MURRAY",13
25,C12370,KOEPP-REILLY,13
26,C12371,JERDE LLC,215
27,C12372,CONNELLY-GRIMES,59
28,C12373,KLOCKO INC,13
29,C12374,"EMMERICH, WYMAN AND MACGYVER",13
30,C12375,ERDMAN-LEMKE,74
31,C12376,BREKKE LLC,215
32,C12377,BRAUN LLC,215
33,C12378,NITZSCHE LLC,215
34,C12379,MUELLER-TOWNE,20
35,C12380,"CARROLL, FEENEY AND PROHASKA",20
36,C12381,RUNTE INC,162
37,C12382,ZIEMANN AND SONS,152
38,C12383,MCKENZIE-WILLMS,20
39,C12384,STEHR-GOTTLIEB,215
40,C12385,"WILLMS, ABERNATHY AND BATZ",20
41,C12386,"POWLOWSKI, OSINSKI AND MOEN",12
42,C12387,JAKUBOWSKI INC,12
43,C12388,LOWE AND SONS,12
44,C12389,ADAMS-KUHLMAN,12
45,C12390,"DOOLEY, PRICE AND VONRUEDEN",20
46,C12391,"SMITHAM, REICHEL AND RAU",56
47,C12392,EMARD-FEEST,12
48,C12393,RIPPIN-CARTER,12
49,C12394,"KRIS, JERDE AND PRICE",20
50,C12395,"PFEFFER, OBERBRUNNER AND HARVEY",20
51,C12396,BECHTELAR INC,194
52,C12397,KOSS-PADBERG,20
53,C12398,DURGAN GROUP,215
54,C12399,"MAYER, KIEHN AND ONDRICKA",20
55,C12400,WOLFF LLC,12
